tmdb_id,title,overview,genres,popularity,vote_average,vote_count,language,release_date
238,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","['Drama', 'Crime']",35.1703,8.687,22324,en,1972-03-14
1246049,Dracula,"When a 15th-century prince denounces God after the devastating loss of his wife, he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death itself, guided by a single hope — to be reunited with his lost love.","['Horror', 'Fantasy', 'Romance']",35.3407,7.173,753,fr,2025-07-30
617126,The Fantastic 4: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.","['Science Fiction', 'Adventure', 'Action']",34.948,6.987,2864,en,2025-07-23
550,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.","['Drama', 'Thriller']",28.1498,8.438,31278,en,1999-10-15
1010581,My Fault,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","['Drama', 'Romance', 'Thriller']",34.0115,7.761,3974,es,2023-06-08
1061474,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.","['Science Fiction', 'Adventure', 'Action']",35.0544,7.383,4183,en,2025-07-09
1584215,The Internship,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",['Action'],29.4137,6.446,28,en,2026-01-13
1116465,A Legend,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.,"['Action', 'Adventure', 'Fantasy']",35.1099,6.843,137,zh,2024-07-05
1180831,Troll 2,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.","['Action', 'Fantasy', 'Thriller']",32.6532,6.563,365,no,2025-11-30
1266990,Kulong,"Three friends retreat to a resort to collaborate on a daring screenplay for a contest. Faced with the challenge of writing about passion despite their own dry spells, their journey soon blurs the line between imagination and experience.",['Drama'],33.4412,6.0,7,tl,2024-05-24
812583,Wake Up Dead Man: A Knives Out Mystery,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.","['Thriller', 'Mystery', 'Comedy']",30.3399,7.216,1833,en,2025-11-26
991494,The SpongeBob Movie: Search for SquarePants,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.","['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']",52.5488,6.493,73,en,2025-12-16
1211442,Rebuilding,"After wildfires take his ranch, a cowboy named Dusty winds up in a FEMA camp, finding community with others who lost homes, including his daughter and ex-wife.",['Drama'],27.0115,6.9,27,en,2025-11-14
1363123,The Family Plan 2,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.","['Action', 'Comedy']",31.8812,6.6,461,en,2025-11-11
1408208,Exit 8,"A man gets lost in an underground passage. He follows the ""guide"" through the passage, but one after another, strange things happen to him. Is this space real? Or an illusion? Will the man be able to escape the passage?","['Horror', 'Mystery', 'Thriller']",29.8866,6.171,114,ja,2025-08-28
